"","Zoneid","TNC","Scaled_pop"
"1","ID261",1921,47.5434782608696
"2","ID261",7261,48.2659574468085
"3","ID261",9219,48.2659574468085
"4","ID261",6853,48.2659574468085
"5","ID261",11370,51.1170212765957
"6","ID261",2631,47.5434782608696
"7","ID261",1999,47.5434782608696
"8","ID261",2135,47.5434782608696
"9","ID261",2492,47.5434782608696
"10","ID261",2590,47.5434782608696
"11","ID261",6202,48.2659574468085
"12","ID261",3136,47.5434782608696
"13","ID261",10189,51.1170212765957
"14","ID261",3127,47.5434782608696
"15","ID261",8839,48.2659574468085
"16","ID261",6012,48.2659574468085
"17","ID261",9280,48.2659574468085
"18","ID261",9629,48.2659574468085
"19","ID261",5737,48.2659574468085
"20","ID261",8889,51.1170212765957
"21","ID261",4662,47.5434782608696
"22","ID261",3466,47.5434782608696
"23","ID261",5577,47.5434782608696
"24","ID261",9099,51.1170212765957
"25","ID113",24461,27.4820936639118
"26","ID113",10328,27.3246217331499
"27","ID113",15930,27.3246217331499
"28","ID113",22232,26.8374655647383
"29","ID113",23062,27.4820936639118
"30","ID113",18966,26.8374655647383
"31","ID113",17844,26.8374655647383
"32","ID113",8788,27.3246217331499
"33","ID113",27006,26.8374655647383
"34","ID113",25192,27.4820936639118
"35","ID113",19483,27.3246217331499
"36","ID113",16920,26.8374655647383
"37","ID113",17975,26.8374655647383
"38","ID113",23209,27.4820936639118
"39","ID113",22758,26.8374655647383
"40","ID113",11774,27.3246217331499
"41","ID113",17183,27.3246217331499
"42","ID113",12145,27.3246217331499
"43","ID113",26833,27.4820936639118
"44","ID113",17807,26.8374655647383
"45","ID113",11294,27.3246217331499
"46","ID113",15008,26.8374655647383
"47","ID113",22689,27.4820936639118
"48","ID113",9910,27.3246217331499
"49","ID113",27552,27.4820936639118
"50","ID26",2009,7.59944673003263
"51","ID26",4311,7.52383320309725
"52","ID26",10511,7.44947390720994
"53","ID26",655,7.59944673003263
"54","ID26",5198,7.52383320309725
"55","ID26",11331,7.44947390720994
"56","ID26",4932,7.52383320309725
"57","ID26",6766,7.52383320309725
"58","ID26",578,7.59944673003263
"59","ID26",7570,7.44947390720994
"60","ID26",3316,7.52383320309725
"61","ID26",631,7.59944673003263
"62","ID26",1903,7.59944673003263
"63","ID26",3839,7.52383320309725
"64","ID26",4035,7.52383320309725
"65","ID26",601,7.59944673003263
"66","ID26",602,7.59944673003263
"67","ID26",1637,7.59944673003263
"68","ID26",11088,7.44947390720994
"69","ID26",2413,7.52383320309725
"70","ID26",407,7.59944673003263
"71","ID26",3567,7.52383320309725
"72","ID26",7673,7.44947390720994
"73","ID26",8029,7.44947390720994
"74","ID97",14896,15.1501673840268
"75","ID97",4595,13.9677891654466
"76","ID97",7820,14.6886517943744
"77","ID97",10556,14.6886517943744
"78","ID97",16242,15.1501673840268
"79","ID97",14655,15.1501673840268
"80","ID97",8610,14.6886517943744
"81","ID97",12660,14.6886517943744
"82","ID97",7593,13.9677891654466
"83","ID97",8760,14.6886517943744
"84","ID97",13175,14.6886517943744
"85","ID97",6249,14.6886517943744
"86","ID97",3404,13.9677891654466
"87","ID97",2368,13.9677891654466
"88","ID97",3390,13.9677891654466
"89","ID97",8942,14.6886517943744
"90","ID97",9499,14.6886517943744
"91","ID97",2621,13.9677891654466
"92","ID97",15290,14.6886517943744
"93","ID97",16740,15.1501673840268
"94","ID97",3264,13.9677891654466
"95","ID97",2724,13.9677891654466
"96","ID97",13989,14.6886517943744
"97","ID97",9019,14.6886517943744
"98","ID62",8475,12.5412339645693
"99","ID62",1421,12.8552229688454
"100","ID62",9168,12.5412339645693
"101","ID62",4370,12.8050045773573
"102","ID62",3850,12.8050045773573
"103","ID62",1675,12.8552229688454
"104","ID62",3312,12.8552229688454
"105","ID62",1640,12.8552229688454
"106","ID62",8254,12.8050045773573
"107","ID62",8020,12.5412339645693
"108","ID62",5623,12.8050045773573
"109","ID62",1433,12.8552229688454
"110","ID62",2849,12.8552229688454
"111","ID62",9906,12.5412339645693
"112","ID62",1565,12.8552229688454
"113","ID62",4750,12.8050045773573
"114","ID62",5260,12.8050045773573
"115","ID62",8662,12.8050045773573
"116","ID62",863,12.8552229688454
"117","ID62",4785,12.8050045773573
"118","ID62",1208,12.8552229688454
"119","ID62",1214,12.8552229688454
"120","ID188",8692,12.4596730734687
"121","ID188",2265,12.5405405405405
"122","ID188",4571,12.5405405405405
"123","ID188",8079,12.4596730734687
"124","ID188",15564,12.2946619217082
"125","ID188",1482,12.5405405405405
"126","ID188",4663,12.5405405405405
"127","ID188",6980,12.4596730734687
"128","ID188",3803,12.5405405405405
"129","ID188",2453,12.5405405405405
"130","ID188",6467,12.4596730734687
"131","ID188",13719,12.4596730734687
"132","ID188",15850,12.2946619217082
"133","ID188",6086,12.4596730734687
"134","ID188",12009,12.2946619217082
"135","ID188",14362,12.2946619217082
"136","ID188",7171,12.4596730734687
"137","ID188",5874,12.4596730734687
"138","ID188",8246,12.4596730734687
"139","ID188",3132,12.5405405405405
"140","ID188",16923,12.2946619217082
"141","ID188",18583,12.2946619217082
"142","ID188",1276,12.5405405405405
"143","ID188",3644,12.5405405405405
"144","ID188",1374,12.5405405405405
"145","ID188",16564,12.2946619217082
"146","ID188",6016,12.4596730734687
"147","ID188",19231,12.2946619217082
"148","ID188",11504,12.4596730734687
"149","ID188",7913,12.4596730734687
"150","ID112",27277,6.40921003369525
"151","ID112",14006,6.14484052532833
"152","ID112",18538,6.40921003369525
"153","ID112",24008,6.24784563506931
"154","ID112",27214,6.40921003369525
"155","ID112",9933,6.24784563506931
"156","ID112",16973,6.24784563506931
"157","ID112",18541,6.24784563506931
"158","ID112",13304,6.24784563506931
"159","ID112",14746,6.24784563506931
"160","ID112",5146,6.14484052532833
"161","ID112",9340,6.14484052532833
"162","ID112",16590,6.24784563506931
"163","ID112",26176,6.40921003369525
"164","ID112",23596,6.40921003369525
"165","ID112",13599,6.24784563506931
"166","ID112",21990,6.40921003369525
"167","ID112",12419,6.24784563506931
"168","ID112",9127,6.14484052532833
"169","ID112",24317,6.40921003369525
"170","ID112",19606,6.24784563506931
"171","ID112",24256,6.40921003369525
"172","ID112",5298,6.14484052532833
"173","ID112",16914,6.24784563506931
"174","ID112",14892,6.24784563506931
"175","ID143",7389,98.7227722772277
"176","ID143",4617,98.7227722772277
"177","ID143",17960,99.5457516339869
"178","ID143",11267,98.7227722772277
"179","ID143",12623,98.0718954248366
"180","ID143",12430,98.0718954248366
"181","ID143",11056,98.0718954248366
"182","ID143",13799,98.0718954248366
"183","ID143",3909,98.7227722772277
"184","ID143",17401,99.5457516339869
"185","ID143",19531,99.5457516339869
"186","ID143",17824,99.5457516339869
"187","ID143",12045,98.0718954248366
"188","ID143",8996,98.7227722772277
"189","ID143",11960,98.0718954248366
"190","ID143",14192,98.0718954248366
"191","ID143",14072,98.0718954248366
"192","ID143",12160,98.0718954248366
"193","ID143",11526,98.0718954248366
"194","ID143",17358,99.5457516339869
"195","ID143",5302,98.7227722772277
"196","ID143",4247,98.7227722772277
"197","ID143",13469,98.0718954248366
"198","ID41",17017,25.8814070351759
"199","ID41",11671,25.1733668341709
"200","ID41",17793,25.8814070351759
"201","ID41",10297,25.1733668341709
"202","ID41",2015,24.5948795180723
"203","ID41",4770,24.5948795180723
"204","ID41",17003,25.8814070351759
"205","ID41",4126,24.5948795180723
"206","ID41",13785,25.1733668341709
"207","ID41",7476,25.1733668341709
"208","ID41",14943,25.8814070351759
"209","ID41",7032,25.1733668341709
"210","ID41",16562,25.8814070351759
"211","ID41",7029,25.1733668341709
"212","ID41",5675,24.5948795180723
"213","ID41",12115,25.8814070351759
"214","ID41",6502,25.1733668341709
"215","ID41",12910,25.1733668341709
"216","ID41",14861,25.8814070351759
"217","ID41",7780,25.1733668341709
"218","ID41",2261,24.5948795180723
"219","ID41",3812,24.5948795180723
"220","ID41",17766,25.8814070351759
"221","ID41",2339,24.5948795180723
"222","ID41",3268,24.5948795180723
"223","ID41",15728,25.8814070351759
"224","ID41",2080,24.5948795180723
"225","ID41",4122,24.5948795180723
"226","ID41",2389,24.5948795180723
"227","ID41",5365,24.5948795180723
"228","ID100",15677,1.08979591836735
"229","ID100",6626,1.2734693877551
"230","ID100",19734,1.2
"231","ID100",10003,1.2734693877551
"232","ID100",14000,1.08979591836735
"233","ID100",6090,1.2734693877551
"234","ID100",20913,1.08979591836735
"235","ID100",7586,1.2734693877551
"236","ID100",14705,1.08979591836735
"237","ID100",17697,1.08979591836735
"238","ID100",24105,1.2
"239","ID100",10133,1.2734693877551
"240","ID100",7051,1.2734693877551
"241","ID100",21975,1.2
"242","ID100",25423,1.2
"243","ID100",17365,1.08979591836735
"244","ID100",15370,1.08979591836735
"245","ID100",18719,1.08979591836735
"246","ID100",12382,1.2734693877551
"247","ID100",17979,1.2
"248","ID100",13609,1.2734693877551
"249","ID100",6657,1.2734693877551
"250","ID100",12997,1.2734693877551
"251","ID100",4445,1.2734693877551
"252","ID100",18409,1.2
"253","ID100",14347,1.2
"254","ID100",7508,1.2734693877551
